date,region,channel,category,revenue,cost,profit,units_sold,satisfaction_score,segment
2025-03-01,North,Online,Electronics,50000,34000.0,16000.0,100,3.5,Enterprise
2025-03-02,South,Retail,Home,50001,34000.68,16000.32,101,3.6,SMB
2025-03-03,East,Wholesale,Fashion,50002,34001.36,16000.64,102,3.7,Consumer
2025-03-04,West,Online,Office,50003,34002.04,16000.96,103,3.8,Enterprise
2025-03-05,North,Retail,Electronics,50004,34002.72,16001.28,104,3.9,SMB
2025-03-06,South,Wholesale,Home,50005,34003.4,16001.6,105,4.0,Consumer
2025-03-07,East,Online,Fashion,50006,34004.08,16001.92,106,4.1,Enterprise
2025-03-08,West,Retail,Office,50007,34004.76,16002.24,107,4.2,SMB
2025-03-09,North,Wholesale,Electronics,50008,34005.44,16002.56,108,4.3,Consumer
2025-03-10,South,Online,Home,50009,34006.12,16002.88,109,4.4,Enterprise
2025-03-11,East,Retail,Fashion,50010,34006.8,16003.2,110,4.5,SMB
2025-03-12,West,Wholesale,Office,50011,34007.48,16003.52,111,4.6,Consumer
2025-03-13,North,Online,Electronics,50012,34008.16,16003.84,112,4.7,Enterprise
2025-03-14,South,Retail,Home,50013,34008.84,16004.16,113,4.8,SMB
2025-03-15,East,Wholesale,Fashion,50014,34009.52,16004.48,114,4.9,Consumer
2025-03-16,West,Online,Office,50015,34010.2,16004.8,115,3.5,Enterprise
2025-03-17,North,Retail,Electronics,50016,34010.88,16005.12,116,3.6,SMB
2025-03-18,South,Wholesale,Home,50017,34011.56,16005.44,117,3.7,Consumer
2025-03-19,East,Online,Fashion,50018,34012.24,16005.76,118,3.8,Enterprise
2025-03-20,West,Retail,Office,50019,34012.92,16006.08,119,3.9,SMB
2025-03-21,North,Wholesale,Electronics,50020,34013.6,16006.4,120,4.0,Consumer
2025-03-22,South,Online,Home,50021,34014.28,16006.72,121,4.1,Enterprise
2025-03-23,East,Retail,Fashion,50022,34014.96,16007.04,122,4.2,SMB
2025-03-24,West,Wholesale,Office,50023,34015.64,16007.36,123,4.3,Consumer
2025-03-25,North,Online,Electronics,50024,34016.32,16007.68,124,4.4,Enterprise
2025-03-26,South,Retail,Home,50025,34017.0,16008.0,125,4.5,SMB
2025-03-27,East,Wholesale,Fashion,50026,34017.68,16008.32,126,4.6,Consumer
2025-03-28,West,Online,Office,50027,34018.36,16008.64,127,4.7,Enterprise
2025-03-01,North,Retail,Electronics,50028,34019.04,16008.96,128,4.8,SMB
2025-03-02,South,Wholesale,Home,50029,34019.72,16009.28,129,4.9,Consumer
2025-03-03,East,Online,Fashion,50030,34020.4,16009.6,130,3.5,Enterprise
2025-03-04,West,Retail,Office,50031,34021.08,16009.92,131,3.6,SMB
2025-03-05,North,Wholesale,Electronics,50032,34021.76,16010.24,132,3.7,Consumer
2025-03-06,South,Online,Home,50033,34022.44,16010.56,133,3.8,Enterprise
2025-03-07,East,Retail,Fashion,50034,34023.12,16010.88,134,3.9,SMB
2025-03-08,West,Wholesale,Office,50035,34023.8,16011.2,135,4.0,Consumer
2025-03-09,North,Online,Electronics,50036,34024.48,16011.52,136,4.1,Enterprise
2025-03-10,South,Retail,Home,50037,34025.16,16011.84,137,4.2,SMB
2025-03-11,East,Wholesale,Fashion,50038,34025.84,16012.16,138,4.3,Consumer
2025-03-12,West,Online,Office,50039,34026.52,16012.48,139,4.4,Enterprise
2025-03-13,North,Retail,Electronics,50040,34027.2,16012.8,140,4.5,SMB
2025-03-14,South,Wholesale,Home,50041,34027.88,16013.12,141,4.6,Consumer
2025-03-15,East,Online,Fashion,50042,34028.56,16013.44,142,4.7,Enterprise
2025-03-16,West,Retail,Office,50043,34029.24,16013.76,143,4.8,SMB
2025-03-17,North,Wholesale,Electronics,50044,34029.92,16014.08,144,4.9,Consumer
2025-03-18,South,Online,Home,50045,34030.6,16014.4,145,3.5,Enterprise
2025-03-19,East,Retail,Fashion,50046,34031.28,16014.72,146,3.6,SMB
2025-03-20,West,Wholesale,Office,50047,34031.96,16015.04,147,3.7,Consumer
2025-03-21,North,Online,Electronics,50048,34032.64,16015.36,148,3.8,Enterprise
2025-03-22,South,Retail,Home,50049,34033.32,16015.68,149,3.9,SMB
2025-03-23,East,Wholesale,Fashion,50050,34034.0,16016.0,150,4.0,Consumer
2025-03-24,West,Online,Office,50051,34034.68,16016.32,151,4.1,Enterprise
2025-03-25,North,Retail,Electronics,50052,34035.36,16016.64,152,4.2,SMB
2025-03-26,South,Wholesale,Home,50053,34036.04,16016.96,153,4.3,Consumer
2025-03-27,East,Online,Fashion,50054,34036.72,16017.28,154,4.4,Enterprise
2025-03-28,West,Retail,Office,50055,34037.4,16017.6,155,4.5,SMB
2025-03-01,North,Wholesale,Electronics,50056,34038.08,16017.92,156,4.6,Consumer
