date,region,channel,category,revenue,cost,profit,units_sold,satisfaction_score,segment
2025-01-03,North,Online,Electronics,120000,81000,39000,860,4.6,Enterprise
2025-01-08,South,Retail,Home,76000,51000,25000,540,4.2,SMB
2025-01-14,West,Wholesale,Electronics,98000,65500,32500,710,4.4,Enterprise
2025-01-18,East,Online,Fashion,64000,43000,21000,620,4.1,Consumer
2025-02-02,North,Retail,Fashion,83000,54800,28200,690,4.3,Consumer
2025-02-09,South,Online,Electronics,131000,87500,43500,920,4.7,Enterprise
2025-02-16,West,Retail,Home,72000,49600,22400,570,4.0,SMB
2025-02-22,East,Wholesale,Fashion,68000,46500,21500,610,3.9,Consumer
2025-03-01,North,Online,Home,91000,61200,29800,660,4.5,SMB
2025-03-07,South,Retail,Electronics,118000,80200,37800,870,4.6,Enterprise
2025-03-15,West,Online,Fashion,79000,51800,27200,740,4.2,Consumer
2025-03-21,East,Retail,Home,70000,47200,22800,560,4.1,SMB
2025-04-04,North,Wholesale,Electronics,136000,90400,45600,950,4.8,Enterprise
2025-04-11,South,Online,Home,84500,57100,27400,630,4.4,SMB
2025-04-19,West,Retail,Fashion,76000,50900,25100,705,4.3,Consumer
2025-04-27,East,Online,Electronics,127000,84200,42800,910,4.7,Enterprise
2025-05-05,North,Retail,Home,88000,59600,28400,650,4.5,SMB
2025-05-12,South,Wholesale,Fashion,71000,48300,22700,615,4.0,Consumer
2025-05-20,West,Online,Electronics,124000,83400,40600,890,4.6,Enterprise
2025-05-29,East,Retail,,69000,47100,21900,555,4.1,Consumer
2025-06-06,North,Online,Fashion,86000,57500,28500,735,4.4,Consumer
2025-06-14,South,Retail,Electronics,121500,80800,40700,880,,Enterprise
2025-06-22,West,Wholesale,Home,74000,50700,23300,590,4.2,SMB
2025-06-30,East,Online,Electronics,129000,85300,43700,925,4.8,Enterprise

